region;municipality_up_name;municipality_down_name;settlement_name;settlement_name_sep;type;arctic;remote;special;suburb;pop_men;pop_women;pop_total;latitude;longitude;mun_oktmo;sett_oktmo;wage_average;social_share;kindergarden_salary;school_salary;culture_salary;housing_depreciation;emergency_housing;building_construction_space;families_improve;space_per_capita;dtp_deaths_norm;dtp_injury_norm;primary_avaiability;dentists;terapists;pediatricians;support_staff;comments_health_perc;aviation_sun;aviation_center;death_rate;natural_growth;sport_facilities;sport_halls;sport_pools;sport_stadiums;sport_gym;cinemas;libraries;theatres;culture_centers;catering;improving_facilities;disabled_transport;disabled_buildings;lighting;kindergardens_availability;certificate_fail;russian_oge;math_oge;russian_ege;math_ege_base;math_ege_plus;spendings_per_schoolar;additional_education;ecology_spending;ecology_projects;emissions_all;emissions_first;emissions_second;comments_eco_perc;ecology_polygon;investments_per_capita;retail_federal;loss_results;gain_results;unemployed;revenue_per_capita;profit_bt_per_capita;vacancies;grocery store_norm;pvz_norm;nomadic_education_primary;nomadic_education_main;nomadic_education_high;nomadic_ngo;nomadic_language;nomadic_support;nomadic_firms;2.1.2_healthcare_new;2.1.3_housing_new;2.1.4_sports_new;2.1.7_public_spaces_new;2.1.8_education_new;2.2.1_air_quality_new;2.3.5_suitability_indigenous_binary_new;2.7_crime_experience_binary_new
Красноярский край;Туруханский муниципальный район;Сельское поселение Туруханский сельсовет;село Туруханск;село Туруханск (Красноярский край);село;TRUE;FALSE;ОНП;FALSE;1446;1732;3178;65.7939965;87.9555316;04654000;04654434101;5,44;9,3;3,62;4,10;3,72;38,04;0,99;0,50;24,86;31,33;0,31;2,52;1,0;1,57;0,94;0,94;16,05;10,38;1,0;1,0;14,6;-3,4;1,6;1,6;0,0;0,0;0,0;0,0;0,6;0,0;0,3;0,3;168,7;0,0;;90,0;73,3;4,8;3,0;3,0;56,5;3,5;41,6;0,02;74,8;81,8;0,0;2547,5;70,1;1,2;11,32;0,0;245,7;0,0;2,5;3679,7;;910,9;37,8;;5,3;0,0;0,00;0,00;0,00;0,00;0,00;38,13;3,72;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Березовский муниципальный район;Городское поселение Березово;пгт Березово;пгт Березово (Ханты-Мансийский автономный округ - Югра);пгт;TRUE;FALSE;0;FALSE;2905;3506;6411;63.936763;65.043246;71812000;71812151051;4,40;29,3;3,38;3,96;2,26;45,99;37,00;2,30;16,22;33,83;0,00;3,12;1,0;0,62;1,72;0,62;18,09;5,29;1,0;1,0;11,8;-1,4;1,1;0,9;0,2;0,0;0,2;0,2;0,3;0,0;0,2;1,4;1121,4;100,0;77,0;100,0;92,9;0,9;3,9;3,3;63,4;3,6;51,3;0,01;73,8;6,3;0,0;514,6;39,9;0,8;7,37;0,0;1,2;1,0;12,7;10,2;16,5;149,0;16,1;62,5;4,2;0,8;0,00;0,00;0,00;0,00;0,00;63,39;0,70;;;;;;;;
Республика Коми;Городской округ Ухта;Городской округ Ухта;пгт Ярега;пгт Ярега (Республика Коми);пгт;FALSE;FALSE;0;TRUE;2867;3389;6256;63.43561089;53.579064;87525000;87525000071;3,97;22,2;2,17;2,26;1,98;25,49;12,09;0,39;;26,01;0,00;2,88;1,0;0,32;0,64;0,32;4,16;7,83;0,0;0,0;13,2;-4,7;1,8;0,5;0,2;0,0;0,3;0,2;0,2;0,0;;0,5;0,0;;;100,0;5,8;0,0;3,8;3,5;62,9;4,2;52,7;0,01;0,3;10,3;0,0;17242,6;29,4;1,5;2,61;0,0;13,5;1,0;34,3;115,8;2,8;26,8;4,4;94,2;4,8;1,0;0,00;0,00;0,00;0,00;0,00;0,00;;2,3;2,3;2,3;2,2;2,3;3,2;0,7;0,3
Красноярский край;Богучанский муниципальный район;Сельское поселение Богучанский сельсовет;село Богучаны;село Богучаны (Красноярский край);село;FALSE;FALSE;ОНП;FALSE;5305;5887;11192;58.3777424;97.45415712;04609000;04609410101;3,23;26,8;2,30;3,66;2,09;42,13;4,29;2,13;0,80;28,23;0,00;4,56;1,0;0,36;1,25;1,16;16,98;9,24;1,0;1,0;13,6;-4,4;1,0;0,7;0,0;0,0;0,3;0,0;0,4;0,0;0,2;0,8;0,0;100,0;67,0;100,0;65,4;2,1;3,9;3,7;66,0;;;0,00;64,7;2,7;0,0;2221,6;29,3;0,1;10,04;0,0;5,2;1,0;153,9;108,8;;229,3;17,6;;7,4;1,0;0,00;0,00;0,00;;;0,00;0,00;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Сургутский муниципальный район;Городское поселение Белый Яр;пгт Белый Яр;пгт Белый Яр (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;TRUE;7856;8285;16141;61.266262;73.248217;71826000;71826155051;4,97;12,2;3,26;4,13;3,16;49,64;67,36;6,26;4,65;17,60;0,06;1,67;1,0;0,43;1,18;0,74;5,33;0,93;1,0;0,0;5,3;7,8;0,8;0,6;0,1;0,0;0,1;0,1;0,1;0,0;0,1;1,1;0,0;35,0;64,0;49,8;86,0;0,4;4,0;3,4;65,2;3,9;57,3;0,01;87,2;140,4;0,0;24707,2;22,6;21355,4;0;0,0;100,9;1,0;528,0;547,3;4,1;36289,6;18616,4;97,5;3,0;0,9;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Красноярский край;Енисейский муниципальный район;Городское поселение поселок Подтесово;пгт Подтесово;пгт Подтесово (Красноярский край);пгт;FALSE;FALSE;ПНП;TRUE;1664;2004;3668;58.60511857;92.0930026;04615000;04615155051;2,75;44,2;2,16;2,82;2,51;60,20;21,26;0,77;3,82;28,18;0,27;6,54;1,0;0,27;0,00;0,55;7,09;0;0,0;0,0;16,1;-6,6;0,8;1,1;0,0;0,3;0,3;0,3;0,5;0,0;0,3;1,1;8384,1;10,0;45,0;0,9;81,0;0,0;3,6;3,3;64,3;3,8;50,6;0,01;4,2;2,8;1,0;912,9;17,7;0,4;2,38;1,0;0,4;1,0;3,4;6,9;;93,5;5,5;;5,2;0,8;0,00;0,00;0,00;;;0,00;0,00;;;;;;;;
Республика Коми;Муниципальный район Сыктывдинский;Сельское поселение Выльгорт;село Выльгорт;село Выльгорт (Республика Коми);село;FALSE;FALSE;ПНП;TRUE;4815;5749;10564;61.62610946;50.76476209;87628000;87628405101;2,53;34;2,50;3,07;;49,37;46,67;8,55;;30,74;0,09;3,79;1,0;0,47;1,14;0,57;8,42;1,66;0,0;0,0;13,6;-3,4;1,3;0,6;0,0;0,1;0,2;0,0;0,3;0,0;0,2;0,5;;;;69,9;43,9;0,0;3,8;3,5;66,7;4,4;58,5;0,01;24,8;2,4;0,0;751,6;15,8;1,5;6,64;0,0;1,7;1,0;5,7;33,9;10,2;13202,3;1050,8;130,7;3,2;0,9;0,00;0,00;0,00;0,00;0,00;0,00;;2,8;3,0;3,3;3,0;3,3;3,6;0,8;0,4
Ханты-Мансийский автономный округ - Югра;Сургутский муниципальный район;Городское поселение Федоровский;пгт Федоровский;пгт Федоровский (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;FALSE;12212;11402;23614;61.606517;73.719143;71826000;71826165051;4,97;12,2;3,22;4,11;3,07;38,44;42,61;1,71;1,95;15,37;0,00;1,82;1,0;0,30;0,80;0,51;3,64;1,14;1,0;0,0;5,3;7,8;0,8;0,4;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,8;1668,5;35,0;94,0;49,4;95,0;0,6;4,0;3,4;66,2;4,0;54,2;0,01;87,3;140,4;1,0;4720,3;14,7;4,0;3,41;0,0;100,9;1,0;528,0;547,3;3,0;124,4;5,3;52,2;2,2;0,6;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Сургутский муниципальный район;Сельское поселение Солнечный;посёлок Солнечный;посёлок Солнечный (Ханты-Мансийский автономный округ - Югра);поселок;FALSE;FALSE;0;TRUE;6291;6594;12885;61.283872;73.203266;71826000;71826407101;4,97;12,2;3,65;4,27;;34,77;58,59;7,32;5,98;20,55;0,08;0,47;1,0;0,23;0,85;0,31;2,79;0;1,0;0,0;5,3;7,8;0,7;1,5;0,2;0,1;0,2;0,1;0,1;0,0;0,2;0,9;0,2;75,0;58,0;35,4;82,8;0,6;4,0;3,5;65,8;4,1;60,3;0,01;86,9;140,4;0,0;24013,5;7,8;21356,3;6,06;0,0;100,9;1,0;528,0;547,3;4,1;10091,5;16657,2;477,5;3,6;0,9;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,2;2,8;3,1;2,8;2,8;4,0;0,7;0,3
Республика Коми;Городской округ Воркута;Городской округ Воркута;пгт Северный;пгт Северный (Республика Коми);пгт;TRUE;TRUE;0;TRUE;1812;1848;3660;67.60106873;64.10110798;87710000;87710000091;4,43;23,4;3,04;3,91;;42,44;25,35;0,00;;39,85;0,00;1,64;1,0;0,00;0,55;0,00;2,46;5;0,0;0,0;11,1;-2,8;1,4;0,3;0,0;0,0;0,3;0,0;0,3;0,0;0,3;0,3;891,0;;;;3,8;1,4;3,9;3,5;59,3;3,7;53,7;0,01;0,0;6,5;0,0;100668,3;7,5;0,3;2,73;0,0;5,7;1,0;19,8;123,0;6,2;199,6;13,3;9,8;6,0;0,5;0,00;0,00;0,00;0,00;0,00;;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Сургутский муниципальный район;Сельское поселение Нижнесортымский;посёлок Нижнесортымский;посёлок Нижнесортымский (Ханты-Мансийский автономный округ - Югра);поселок;FALSE;TRUE;0;FALSE;7341;6876;14217;62.44444;71.770705;71826000;71826423101;4,97;12,2;3,89;4,56;3,11;1,22;0,00;0,28;4,78;16,60;0,07;2,11;1,0;0,35;0,63;0,42;7,53;0;1,0;0,0;5,3;7,8;0,6;0,6;0,4;0,1;0,1;0,1;0,1;0,0;0,1;0,4;0,0;65,0;75,0;73,8;86,2;0,0;4,2;3,5;69,6;4,4;57,6;0,01;86,4;140,4;0,0;11025,5;7,4;32,0;3,45;1,0;100,9;1,0;528,0;547,3;1,0;18,7;-2,4;42,0;1,5;0,8;0,00;0,00;0,00;0,00;0,00;5,63;0,38;;;;;;;;
Республика Карелия;Медвежьегорский муниципальный район;Пиндушское городское поселение;пгт Пиндуши;пгт Пиндуши (Республика Карелия);пгт;FALSE;FALSE;ПНП;TRUE;1880;2053;3933;62.916887;34.579546;86624000;86624155051;2,79;41,7;2,44;2,39;1,73;53,57;59,75;0,58;25,93;31,06;0,00;1,78;1,0;0,25;0,51;0,51;1,78;1,49;0,0;0,0;24,0;-16,1;0,8;0,8;0,0;0,3;0,5;0,0;0,3;0,0;0,3;0,8;10678,9;7,0;5,0;87,0;94,5;0,0;3,5;3,5;64,3;4,5;64,8;0,01;62,5;0,5;0,0;50086,5;4,2;6,2;19,4;0,0;0,4;1,0;14,5;22,2;5,6;1451,1;99,7;12,5;4,1;1,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Республика Карелия;Лоухский муниципальный район;Лоухское городское поселение;пгт Лоухи;пгт Лоухи (Республика Карелия);пгт;TRUE;FALSE;ОНП;FALSE;1680;2029;3709;66.074149;33.044785;86621000;86621151051;3,55;41,1;1,94;2,48;2,11;25,72;28,71;0,98;;36,27;0,27;1,62;1,0;1,08;0,00;0,27;0,00;5,33;0,0;0,0;25,9;-19,5;3,5;0,8;0,0;0,0;0,3;0,0;0,3;0,3;0,3;3,0;1,1;0,0;;;69,6;0,9;;;;;;0,01;71,4;0,4;0,0;475,1;3,9;3,1;17,94;0,0;0,9;1,0;10,8;153,6;;253,8;3,9;;5,4;0,8;0,00;0,00;0,00;0,00;0,00;;;2,5;2,3;3,3;2,9;3,1;3,8;0,9;0,4
Республика Коми;Городской округ Воркута;Городской округ Воркута;пгт Воргашор;пгт Воргашор (Республика Коми);пгт;TRUE;TRUE;0;TRUE;3194;3359;6553;67.5829543;63.7982355;87710000;87710000056;4,43;23,4;3,04;3,46;;36,40;20,75;0,00;;45,95;0,61;1,53;1,0;0,31;0,76;0,00;3,36;3,38;0,0;0,0;11,1;-2,8;0,3;0,2;0,2;0,0;0,0;0,2;0,2;0,0;0,2;0,3;1016,8;;;;3,8;0,8;4,1;3,4;64,7;4,1;54,0;0,01;0,9;6,5;0,0;81152,9;3,8;0,1;3,38;0,0;5,7;1,0;19,8;123,0;8,8;63,1;24,7;44,7;5,5;0,6;0,00;0,00;0,00;0,00;0,00;;;1,5;1,8;1,7;2,0;2,3;3,1;0,2;0,4
Ханты-Мансийский автономный округ - Югра;Октябрьский муниципальный район;Сельское поселение Унъюган;посёлок Унъюган;посёлок Унъюган (Ханты-Мансийский автономный округ - Югра);поселок;FALSE;TRUE;0;TRUE;2646;2832;5478;61.953956;64.949667;71821000;71821404101;4,56;21,9;3,16;3,97;3,13;35,53;13,56;1,10;3,10;26,08;0,18;1,10;1,0;0,37;0,55;0,18;7,85;0;1,0;0,0;12,1;-1,9;1,1;1,8;0,2;0,0;0,2;0,0;0,2;0,4;0,4;0,5;933,6;0,0;100,0;73,8;65,0;0,0;3,8;3,4;63,7;4,1;54,1;0,01;92,2;44,6;0,0;123310,8;3,2;0,4;0;0,0;24,0;1,0;5,9;21,2;6,5;39,1;-4,2;6,5;5,5;2,4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Красноярский край;Енисейский муниципальный район;Сельское поселение Верхнепашинский сельсовет;село Верхнепашино;село Верхнепашино (Красноярский край);село;FALSE;FALSE;ПНП;TRUE;;;2870;58.40259013;92.2527237;04615000;04615407101;2,75;44,2;2,20;2,90;2,63;53,61;56,41;0,92;59,58;32,53;0,35;4,18;1,0;0,35;0,35;0,35;2,44;11,11;0,0;0,0;16,1;-6,6;1,4;0,3;0,0;0,3;0,0;0,0;0,7;0,0;0,3;0,0;1036,6;10,0;50,0;1,0;72,5;0,0;3,4;3,6;62,0;3,8;46,9;0,01;16,1;2,8;1,0;999,7;3,0;0,1;0;0,0;0,4;0,0;3,4;6,9;;2103,4;115,6;;4,2;0,7;1,00;1,00;1,00;;;0,00;0,00;;;;;;;;
Архангельская область;Приморский муниципальный район;Катунинское сельское поселение;посёлок Катунино;посёлок Катунино (Архангельская область);поселок;TRUE;FALSE;ОНП;TRUE;1617;1945;3562;64.389661;40.63161;11552000;11552000286;3,40;26,4;2,29;2,79;2,45;27,77;0,00;2,50;5,05;108,75;0,00;0,28;0,5;0,56;0,84;0,56;3,37;1,72;0,0;0,0;15,4;-6,8;1,1;0,3;0,0;0,0;0,0;0,0;0,3;0,0;0,3;0,3;0,3;;100,0;45,9;98,2;0,2;3,8;3,5;69,1;4,1;52,3;0,01;86,3;4,3;0,0;2044,2;3,0;2,8;3,45;0,0;3,9;1,0;7,0;39,3;8,6;6414,8;318,8;5,7;3,4;0,8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Ямало-Ненецкий автономный округ;Муниципальный округ Ямальский район;Муниципальный округ Ямальский район;село Яр-Сале;село Яр-Сале (Ямало-Ненецкий автономный округ);село;TRUE;TRUE;0;FALSE;3533;3877;7410;66.863516;70.83817;71948000;71948000101;5,57;4,4;4,25;5,24;4,43;16,04;17,26;0,90;19,97;23,20;0,00;0,27;1,0;0,54;1,48;0,81;18,35;16,7;1,0;1,0;8,1;15,3;2,2;0,7;0,1;0,1;0,3;0,1;0,3;0,0;0,1;0,7;1744,5;100,0;63,8;84,0;27,3;0,0;3,7;3,5;62,2;3,7;55,0;0,03;82,8;279,4;1,0;420,1;3,0;0,8;2,1;0,0;466,9;1,0;6577,2;26699,5;3,3;265,1;18,0;105,3;2,8;0,3;0,00;0,00;0,00;0,13;85,43;1534,16;2,43;;;;;;;;
Республика Саха (Якутия);Нюрбинский муниципальный район;Сельское поселение Октябрьский наслег;село Антоновка;село Антоновка (Республика Саха (Якутия));село;FALSE;FALSE;ПНП;TRUE;1476;1626;3102;63.2853;118.396029;98626000;98626445101;3,74;30;2,50;3,79;3,72;70,00;100,00;3,15;5,16;14,44;0,32;0,32;1,0;0,00;0,64;0,64;3,55;0;0,0;0,0;11,8;4,5;0,3;0,3;0,0;0,0;0,3;0,0;0,3;0,0;0,3;0,0;50834,3;;;1,0;100,0;1,7;2,9;2,4;51,9;2,2;28,0;;97,7;54,9;0,0;1825,9;2,8;1,5;12,5;1,0;4,5;0,0;0,7;384,2;23,2;402,6;30,2;0,0;1,6;0,3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,3;3,1;3,9;3,7;3,4;4,0;1,0;0,2
Архангельская область;Лешуконский муниципальный район;Лешуконское сельское поселение;село Лешуконское;село Лешуконское (Архангельская область);село;TRUE;FALSE;ОНП;FALSE;1600;1950;3550;64.897914;45.758867;11538000;11538000101;2,80;51,8;2,92;3,50;;27,33;17,04;1,02;2,82;59,10;0,00;2,54;1,0;0,28;1,13;0,28;12,68;18,59;1,0;1,0;26,7;-16,5;1,7;0,8;0,0;0,0;0,0;0,0;0,6;0,0;0,8;0,6;;0,0;0,0;51,2;56,3;0,0;4,1;3,8;73,8;4,5;62,3;0,02;65,7;0,2;0,0;1568,3;2,6;2,2;7,05;0,0;0,1;0,0;0,6;5,0;16,5;190,6;19,3;15,7;4,5;0,8;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Сургутский муниципальный район;Городское поселение Барсово;пгт Барсово;пгт Барсово (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;TRUE;2987;3205;6192;61.254759;73.1818;71826000;71826153051;4,97;12,2;3,06;3,83;1,77;56,07;22,83;8,91;29,88;14,83;0,00;1,45;1,0;0,16;0,48;0,32;7,91;0;1,0;0,0;5,3;7,8;1,5;1,0;0,0;0,0;0,5;0,2;0,2;0,0;0,2;1,0;0,0;75,0;80,0;100,0;89,5;0,0;4,1;3,4;62,7;4,1;50,1;0,01;87,1;140,4;0,0;22483,2;2,6;21350,7;3,6;0,0;100,9;1,0;528,0;547,3;4,2;9427,9;28206,8;61,5;3,7;1,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,1;2,3;3,1;2,3;2,5;3,7;0,9;0,3
